word,frequencies
007,{'1026913291073798145': 1}
020586,{'1026892551939416064': 1}
04g2vbme,{'1026825674265255937': 1}
06ag,{'1026868587200475136': 1}
06d,{'1026816089110601728': 1}
0dtass,{'1026898267244703744': 1}
0dz9fqkzz,{'1026889970429116421': 1}
0kddxytodg,{'1026820817831821312': 1}
0ntkaflyt,{'1026878290127192064': 1}
0rljsm6,{'1028502048491425792': 1}
0t0,{'1026870128858853376': 1}
0vlx4cts,{'1026859648777965568': 1}
0yxswex,{'1026933496336576512': 1}
1010,{'1028491953514663936': 1}
10yagv4j,{'1026911864020787200': 1}
1156bwqt,{'1026936566651019269': 1}
116,{'1026876788880941056': 1}
131,{'1026831809810755584': 1}
13asskqhi,{'1026900063899934721': 1}
1411,{'1026822022943395841': 1}
1412,{'1026824365894258688': 1}
1433,{'1026906551385300994': 1}
14bxnc9vj,{'1026890095603982336': 1}
15anny,{'1026920677419491328': 1}
16091959,{'1028494771390767104': 1}
1891,{'1026820271192371200': 1}
1914,{'1026820271192371200': 1}
196,{'1026819287632232459': 1}
1967,{'1028498369449287680': 1}
1979,{'1026836132477259777': 1}
1992,{'1028499063669510144': 1}
1cl,{'1026883033146777603': 1}
1czv5,{'1026861130377908230': 1}
1dmm,{'1026874727049191424': 1}
1evtwsu,{'1028503498747334657': 1}
1fqcjevgt,{'1026862068421550081': 1}
1hm4abb1d,{'1026915529301405698': 1}
1hxw5yr,{'1026918297214877696': 1}
1knkl61g,{'1028497258474602497': 1}
1laaj,{'1026920916486422528': 1}
1pn5yfe,{'1026899399434227712': 1}
1pyn9si,{'1026906744830787584': 1}
1td,{'1026833824326529025': 1}
2006,{'1026880655437770752': 1}
2011,{'1026899531001155586': 1}
2012,{'1026899399434227712': 1}
2013,{'1028501279247687680': 1}
2017,{'1026831702688186368': 1}
2018,{'1028487115854753793': 1}
2018ntv,{'1028486447026909184': 1}
2018peru,{'1026852042457927680': 1}
2018pqsab,{'1026860583726051331': 1}
2019,{'1026857085907226626': 1}
20kauf,{'1026814466145628160': 1}
212,{'1026829452792279040': 1}
215,{'1026883033146777603': 1}
233,{'1026883033146777603': 2}
2392,{'1026831781604024320': 1}
269,{'1026883033146777603': 1}
270,{'1028503474948988928': 1}
286,{'1026883033146777603': 1}
289,{'1026883033146777603': 1}
2lx2,{'1026893427668074497': 1}
2nclb86e2,{'1028494450509709312': 1}
2sk,{'1026911163483910144': 1}
2vxlk9,{'1026866444829642752': 1}
2zoxoek,{'1026862453328621570': 1}
300,{'1026883033146777603': 1}
3000,{'1026856435563601920': 1}
3157455,{'1026855489290870786': 1}
327,{'1026850657922375682': 1}
39weislhv,{'1026839283745935360': 1}
3da,{'1026880655437770752': 1}
3dimag,{'1026833824326529025': 1}
3fmrh7kfab,{'1026909432633061381': 1}
3ja5zqhyx,{'1026886091922657281': 1}
438,{'1026842300981362689': 1}
4407647,{'1026821494867935233': 1}
4cgy,{'1026862681981165571': 1}
4jkmsqqnml,{'1026856718708494337': 1}
4riopemti,{'1026886354184167429': 1}
4tru,{'1026863820013281281': 1}
4utdhs55k,{'1026832248996331525': 1}
4vjaqglzs,{'1026821961341648897': 1}
500,{'1026842300981362689': 1}
5007970,{'1026821961341648897': 1}
5dwlqqyb7h,{'1026829312987672576': 1}
5jjrcbxvr,{'1026861868944683008': 1}
5nuon,{'1026850598233231371': 1}
5oh,{'1028491893850693633': 1}
5ro9fj,{'1026868587200475136': 1}
5xupia8zw,{'1026933258603438080': 1}
682018,{'1026883033146777603': 1}
6a3vwuqh,{'1026828028695834625': 1}
6bellbkh,{'1026820271192371200': 1}
6ghi,{'1026868587200475136': 1}
6hvd8ft4f1,{'1026935145989898246': 1}
6ifyf,{'1026837960287764480': 1}
6lvli3h,{'1026820271192371200': 1}
6ou,{'1026920916486422528': 1}
6ui,{'1026878251375845377': 1}
777,{'1026858061691056130': 1}
7gk7,{'1028487632332812288': 1}
7jhjgvpmdf,{'1026909634450341890': 1}
7jzrqhmjpv,{'1026920097544318980': 1}
7ky0chdq,{'1026886354184167429': 1}
7mvs,{'1026933200889831424': 1}
7mwyiex4n6,{'1026852414287163392': 1}
7pwmx5qt,{'1028502698520399872': 1}
7r7ghwncyh,{'1026876788880941056': 1}
7swpmev3m0,{'1026934078245941254': 1}
7w5vf5,{'1026880327606788096': 1}
8632171,{'1026929787967889408': 1}
863v,{'1026838772514734082': 1}
8752062,{'1028502134365609984': 1}
8igzm,{'1026912748410687488': 1}
8ot,{'1026852417118318594': 1}
8otf66qjk,{'1026844721396834304': 1}
8sgorpyd,{'1026860343350444032': 1}
8vphvinmv,{'1026842300981362689': 1}
91390,{'1026892794412118022': 1}
9344628,{'1028505318261698560': 1}
951,{'1026906551385300994': 1}
967,{'1026923030038151170': 1}
9fjxtaktg,{'1026914220082978818': 1}
9go0qq8ekt,{'1028500588894535681': 1}
9rxcxpzep2,{'1026898267244703744': 1}
9sq,{'1026868823935381507': 1}
9zqvt4sbww,{'1026862012003962880': 1}
aas,{'1026837885352329216': 1}
abaj,{'1026912936307163137': 1}
ablandosinh,{'1028499504138469376': 1}
abraz,{'1026831702688186368': 1}
abri,{'1026839268793167873': 1}
abril,{'1028499063669510144': 1}
abus,{'1026833960188436480': 1}
acab,{'1026839268793167873': 1}
accin,{'1028497230536237056': 1}
accion,{'1026824187342663680': 1}
accioncolora,{'1026814466145628160': 1}
accionpopul,{'1026814466145628160': 2}
accionpopularap,{'1026814466145628160': 1}
accionpopularp,{'1026814466145628160': 1}
aceit,{'1026866049243697153': 1}
acept,{'1028489024950947841': 1}
acerc,{'1026816185126596608': 1}
acerqu,{'1026851215223795713': 1}
aciert,{'1026860583726051331': 1}
aclar,{'1028490889231040513': 1}
acomp,{'1026829312987672576': 1}
acompaarn,{'1026861988956266496': 1}
actan,{'1026916946347020288': 1}
actitud,{'1026873273752199169': 1}
activ,{'1026859623624728581': 1}
acto,{'1026907977251516419': 1}
actos,{'1026831317625958401': 1}
actu,{'1026817611626172417': 1}
acuerd,{'1026911558151098370': 1}
acus,{'1026832475279056896': 1}
adecent,{'1026824055121428480': 1}
adel,{'1026845950424346625': 1}
adis,{'1026909720874049536': 1}
admir,{'1026930068994633729': 1}
admiracin,{'1026818103135621120': 1}
ador,{'1026922897133252608': 1}
adorn,{'1026880655437770752': 1}
advenediz,{'1026842559690285056': 1}
afin,{'1026827702077190144': 1}
afirm,{'1026837920127348737': 1}
agost,{'1026842300981362689': 1}
agradec,{'1026821595510255618': 1}
agradezc,{'1026871577705689088': 1}
agred,{'1026936333594501123': 1}
agreg,{'1026824187342663680': 1}
agrup,{'1026816984787443717': 1}
aguil,{'1026822022943395841': 1}
ahi,{'1026917771534368770': 1}
ahor,{'1028490666186366976': 1}
ajen,{'1026834674084134912': 1}
alamarquep,{'1026832018506764293': 1}
alany,{'1026860173187530754': 1}
alard,{'1026916946347020288': 1}
alas,{'1026828816566706176': 1}
albert,{'1026825674265255937': 1}
alcal,{'1028490659546767360': 1}
alcald,{'1028487099710951424': 1}
alcaldes,{'1028487632332812288': 1}
alcaldi,{'1028498369449287680': 1}
alcaldiadelim,{'1026830111587422208': 1}
alcaldiay,{'1026902369529937920': 1}
alegr,{'1026870813268557826': 1}
alejandr,{'1026904229427007488': 1}
alertasurc,{'1026876788880941056': 1}
alertavecin,{'1026874727049191424': 1}
algui,{'1028493994966372352': 1}
algun,{'1026838853930377217': 1}
ali,{'1026829312987672576': 1}
alianz,{'1028493339962826752': 1}
alovell,{'1026880655437770752': 1}
alquil,{'1026924015519232000': 1}
alrededor,{'1026856978348470272': 1}
alt,{'1026833170908553217': 1}
altavozp,{'1026886624377036801': 1}
alto,{'1026827485378473984': 1}
altos,{'1028486995650244608': 1}
alucin,{'1028502698520399872': 1}
alucinel,{'1026934257195929602': 1}
alvar,{'1026829452792279040': 1}
ama,{'1026843357228793856': 1}
amabil,{'1026817611626172417': 1}
amabl,{'1026817611626172417': 1}
amad,{'1026899399434227712': 1}
amarill,{'1026816984787443717': 1}
ambicin,{'1026898596740915200': 2}
ambulatori,{'1026921081213526016': 1}
